idx,file_path,measure_time,true_name,pred_name,prob_true,prob_pred,margin_top1_top2,entropy,sample_weight
1642,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五47.txt,60,粉土,粘土,0.0479524723287382,0.932867100005494,0.8849146276767555,0.2863219,0.7
229,/root/autodl-tmp/gamma/gamma_data/xunlian/150s total标签五9.txt,150,粉土,粘土,0.0568267392175427,0.929887661109653,0.8730609218921103,0.28796777,0.7
418,/root/autodl-tmp/gamma/gamma_data/xunlian/30s total标签五26.txt,30,粉土,粘土,0.0570933699401097,0.9299780220643556,0.8728846521242458,0.2871909,0.6
1425,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五121.txt,60,粉土,砂土,0.0347472954679848,0.9177344751728378,0.8702162458136604,0.3402948,0.7
1649,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五53.txt,60,粉土,粘土,0.0587518750763673,0.9226440233496368,0.8638921482732693,0.31493762,0.7
1672,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五74.txt,60,粉土,粘土,0.0596874769510041,0.9219281984173008,0.8622407214662967,0.31664723,0.7
1639,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五44.txt,60,粉土,粘土,0.0598797080963668,0.9216446982941384,0.8617649901977715,0.31753016,0.7
422,/root/autodl-tmp/gamma/gamma_data/xunlian/30s total标签五3.txt,30,粉土,砂土,0.0263947609097645,0.9129415587345144,0.8522778783787938,0.34909248,0.7
1607,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五286.txt,60,粉土,砂土,0.0417323994912157,0.9045560637848143,0.8508445270608442,0.38035834,0.7
1681,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五82.txt,60,粉土,粘土,0.0620863202168688,0.9048660691928488,0.84277974897598,0.37569603,0.7
1521,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五208.txt,60,粉土,粘土,0.068746675395616,0.9068594618886942,0.8381127864930782,0.36330372,0.7
212,/root/autodl-tmp/gamma/gamma_data/xunlian/150s total标签五11.txt,150,粉土,粘土,0.0671202172954276,0.9040951291695852,0.8369749118741576,0.37458676,0.7
433,/root/autodl-tmp/gamma/gamma_data/xunlian/30s total标签五4.txt,30,粉土,砂土,0.0310046592561581,0.8958949546984911,0.8227945686531405,0.39741084,0.7
1534,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五22.txt,60,粉土,砂土,0.0361465508634814,0.8930956945719284,0.8223379400073382,0.40838903,0.7
1587,/root/autodl-tmp/gamma/gamma_data/xunlian/60s total标签五268.txt,60,粉土,粘土,0.0852901847242611,0.8952562440640905,0.8099660593398293,0.3856561,0.7
